column_name;total_non_null;num_categories;most_frequent_value;most_frequent_count;most_frequent_percentage;distribution;percentage_distribution
msd03_wais4;4048;3;0.0;70;1.73;{0.0: np.int64(70), 1.0: np.int64(706), 2.0: np.int64(3272)};{0.0: np.float64(1.73), 1.0: np.float64(17.44), 2.0: np.float64(80.83)}
msd04_wais4;4044;3;0.0;535;13.23;{0.0: np.int64(535), 1.0: np.int64(1603), 2.0: np.int64(1906)};{0.0: np.float64(13.23), 1.0: np.float64(39.64), 2.0: np.float64(47.13)}
msd05_wais4;4024;3;0.0;1268;31.51;{0.0: np.int64(1268), 1.0: np.int64(1380), 2.0: np.int64(1376)};{0.0: np.float64(31.51), 1.0: np.float64(34.29), 2.0: np.float64(34.19)}
msd06_wais4;3972;3;0.0;3093;77.87;{0.0: np.int64(3093), 1.0: np.int64(657), 2.0: np.int64(222)};{0.0: np.float64(77.87), 1.0: np.float64(16.54), 2.0: np.float64(5.59)}
msd07_wais4;3901;3;0.0;3577;91.69;{0.0: np.int64(3577), 1.0: np.int64(289), 2.0: np.int64(35)};{0.0: np.float64(91.69), 1.0: np.float64(7.41), 2.0: np.float64(0.9)}
msd08_wais4;3861;3;0.0;3835;99.33;{0.0: np.int64(3835), 1.0: np.int64(22), 2.0: np.int64(4)};{0.0: np.float64(99.33), 1.0: np.float64(0.57), 2.0: np.float64(0.1)}
msi01a_wais4;4048;2;0.0;11;0.27;{0.0: np.int64(11), 1.0: np.int64(4037)};{0.0: np.float64(0.27), 1.0: np.float64(99.73)}
msi01b_wais4;4048;2;0.0;29;0.72;{0.0: np.int64(29), 1.0: np.int64(4019)};{0.0: np.float64(0.72), 1.0: np.float64(99.28)}
msi02a_wais4;4048;2;0.0;168;4.15;{0.0: np.int64(168), 1.0: np.int64(3880)};{0.0: np.float64(4.15), 1.0: np.float64(95.85)}
msi02b_wais4;4048;2;0.0;137;3.38;{0.0: np.int64(137), 1.0: np.int64(3911)};{0.0: np.float64(3.38), 1.0: np.float64(96.62)}
msi03a_wais4;4046;2;0.0;605;14.95;{0.0: np.int64(605), 1.0: np.int64(3441)};{0.0: np.float64(14.95), 1.0: np.float64(85.05)}
msi03b_wais4;4046;2;0.0;307;7.59;{0.0: np.int64(307), 1.0: np.int64(3739)};{0.0: np.float64(7.59), 1.0: np.float64(92.41)}
msi04a_wais4;4045;2;0.0;1587;39.23;{0.0: np.int64(1587), 1.0: np.int64(2458)};{0.0: np.float64(39.23), 1.0: np.float64(60.77)}
msi04b_wais4;4043;2;0.0;2219;54.88;{0.0: np.int64(2219), 1.0: np.int64(1824)};{0.0: np.float64(54.88), 1.0: np.float64(45.12)}
msi05a_wais4;3996;2;0.0;2763;69.14;{0.0: np.int64(2763), 1.0: np.int64(1233)};{0.0: np.float64(69.14), 1.0: np.float64(30.86)}
msi05b_wais4;3995;2;0.0;2676;66.98;{0.0: np.int64(2676), 1.0: np.int64(1319)};{0.0: np.float64(66.98), 1.0: np.float64(33.02)}
msi06a_wais4;3963;2;0.0;3804;95.99;{0.0: np.int64(3804), 1.0: np.int64(159)};{0.0: np.float64(95.99), 1.0: np.float64(4.01)}
msi06b_wais4;3966;2;0.0;3670;92.54;{0.0: np.int64(3670), 1.0: np.int64(296)};{0.0: np.float64(92.54), 1.0: np.float64(7.46)}
msi07a_wais4;3891;2;0.0;3813;98.0;{0.0: np.int64(3813), 1.0: np.int64(78)};{0.0: np.float64(98.0), 1.0: np.float64(2.0)}
msi07b_wais4;3891;2;0.0;3860;99.2;{0.0: np.int64(3860), 1.0: np.int64(31)};{0.0: np.float64(99.2), 1.0: np.float64(0.8)}
msi08a_wais4;3854;2;0.0;3841;99.66;{0.0: np.int64(3841), 1.0: np.int64(13)};{0.0: np.float64(99.66), 1.0: np.float64(0.34)}
msi08b_wais4;3852;2;0.0;3842;99.74;{0.0: np.int64(3842), 1.0: np.int64(10)};{0.0: np.float64(99.74), 1.0: np.float64(0.26)}
msi01_wais4;4045;2;0.0;39;0.96;{0.0: np.int64(39), 1.0: np.int64(4006)};{0.0: np.float64(0.96), 1.0: np.float64(99.04)}
msi02_wais4;4046;3;0.0;33;0.82;{0.0: np.int64(33), 1.0: np.int64(239), 2.0: np.int64(3774)};{0.0: np.float64(0.82), 1.0: np.float64(5.91), 2.0: np.float64(93.28)}
msi03_wais4;4044;3;0.0;121;2.99;{0.0: np.int64(121), 1.0: np.int64(668), 2.0: np.int64(3255)};{0.0: np.float64(2.99), 1.0: np.float64(16.52), 2.0: np.float64(80.49)}
msi04_wais4;4041;3;0.0;1121;27.74;{0.0: np.int64(1121), 1.0: np.int64(1562), 2.0: np.int64(1358)};{0.0: np.float64(27.74), 1.0: np.float64(38.65), 2.0: np.float64(33.61)}
msi05_wais4;3992;3;0.0;2163;54.18;{0.0: np.int64(2163), 1.0: np.int64(1106), 2.0: np.int64(723)};{0.0: np.float64(54.18), 1.0: np.float64(27.71), 2.0: np.float64(18.11)}
msi06_wais4;3960;3;0.0;3553;89.72;{0.0: np.int64(3553), 1.0: np.int64(359), 2.0: np.int64(48)};{0.0: np.float64(89.72), 1.0: np.float64(9.07), 2.0: np.float64(1.21)}
msi07_wais4;3883;3;0.0;3790;97.6;{0.0: np.int64(3790), 1.0: np.int64(77), 2.0: np.int64(16)};{0.0: np.float64(97.6), 1.0: np.float64(1.98), 2.0: np.float64(0.41)}
msi08_wais4;3841;3;0.0;3822;99.51;{0.0: np.int64(3822), 1.0: np.int64(15), 2.0: np.int64(4)};{0.0: np.float64(99.51), 1.0: np.float64(0.39), 2.0: np.float64(0.1)}
